town,total_population,median_household_income,per_capita_income,median_age,median_home_value,pct_owner_occupied,pct_in_labor_force,pct_unemployed,pct_white,pct_poverty,pct_bachelors_plus,margin,winner
Bethel,2617,58929,55434.0,50.2,344900,82.92483660130719,63.259911894273124,5.222841225626741,89.49178448605272,13.922097956035481,41.25539051269765,-11.95467422096317,0
Biddeford,22498,72333,39562.0,35.0,396600,48.12038244241634,68.55300490069641,3.107833546542253,91.98150946750823,15.476818334372153,32.1219004353587,-27.688581935599608,0
Bingham,660,42708,26723.0,56.0,103000,85.9375,45.75971731448763,7.722007722007722,95.9090909090909,16.09375,22.58064516129032,39.784946236559136,1
Blue Hill,2813,80377,56338.0,48.6,399500,79.66360856269114,63.20956039265898,5.401755570560432,93.70778528261643,4.70756062767475,38.206278026905835,-37.1056584877316,0
Boothbay,3102,60320,52567.0,56.8,342100,78.36566725455614,54.62508759635599,0.8338678640153944,97.1953578336557,6.786296900489397,51.892313694888806,-15.338553661906957,0
Boothbay Harbor,2096,62800,42701.0,63.8,400600,75.51020408163265,37.84501061571125,1.8232819074333801,93.22519083969466,16.143497757847534,42.40837696335078,-23.678493845039817,0
Bowdoin,3188,91239,42181.0,44.3,292800,84.66211085801064,69.23963133640552,0.9428729894620078,95.98494353826851,10.95360824742268,30.354957160342718,19.24488725747247,1
Bowdoinham,3142,108479,44986.0,51.9,405500,93.77431906614785,69.2191053828658,12.979189485213583,92.17059197963081,13.46276257161044,43.7648927720413,-10.163609320773432,0
Bowerbank,211,93125,43660.0,58.3,199500,94.44444444444444,53.80710659898477,0.9433962264150944,97.6303317535545,3.7914691943127963,33.75,30.158730158730158,1
Bradford,1254,82955,34973.0,49.7,176200,86.76470588235294,55.64892623716153,2.684563758389262,98.72408293460924,9.011164274322168,18.9727463312369,47.85100286532952,1
Bradley,1645,76667,38116.0,42.6,201800,84.62732919254658,65.88679245283019,1.3745704467353952,88.6322188449848,4.5592705167173255,22.73462783171521,17.987152034261243,1
Bremen,917,100000,56375.0,52.1,425300,93.58974358974359,53.14960629921261,2.7160493827160495,94.65648854961832,9.378407851690294,54.166666666666664,-35.0253807106599,0
Brewer,9652,66613,40180.0,40.1,245300,59.67058823529412,57.39870443287184,1.4383713210887363,93.01699129714049,12.496018685635418,34.96523754345307,1.2584704743465736,1
Bridgewater,484,65417,34881.0,48.8,154900,84.68085106382979,52.55474452554745,6.944444444444445,92.14876033057851,12.033195020746888,18.820224719101123,48.14814814814815,1
Bridgton,5642,77500,42651.0,45.9,316600,82.77310924369748,45.77124868835257,5.135259055479138,94.18645870258774,12.825144508670519,34.903689951264795,-1.3675213675213627,0
Bristol,2917,100750,66154.0,61.0,406400,88.61671469740634,44.92979719188768,7.725694444444445,87.829962290024,6.4172958133150315,52.740560292326435,-24.331926863572434,0
Brooklin,869,68750,37920.0,49.2,339400,84.375,61.30790190735694,1.1111111111111112,95.2819332566168,7.720144752714113,41.78628389154705,-42.21508828250401,0
